Question,Category1,Category2,Category3,OptionA,OptionB,OptionC,OptionD,Answer1,Answer2,Answer3,Answer4
"Starting with the earliest, put these forms of transport in the order they were introduced ",History,Technology,,Airbus A380,Flying Scotsman,Model T Tom Ford,Penny-farthing,Penny-farthing,Model T Tom Ford,Flying Scotsman,Airbus A380
"Starting with the fewest, put these creatures in order according to the number of legs they have? ",Science,,,Antelope,Beetle,Ostrich,Spider ,Ostrich,Antelope,Beetle,Spider
Put these UK National Parks in order from north to south ,UK,Geography,,Carnigorms,Brecon Beacons,Dartmoor,Yorkshire Dales ,Carnigorms,Dartmoor,Brecon Beacons,Yorkshire Dales 
"Starting with with the earliest, put these TV cooks in the order they were born ",UK,,,Delia Smith,Nadiya Hussain,Mary Berry,Nigella Lawson ,Mary Berry,Delia Smith,Nigella Lawson ,Nadiya Hussain
Put these UK airports as represented by their IATA airport codes in order from north to south ,UK,Geography,,GLA,MAN,LGW,BHX ,GLA,MAN,BHX ,LGW
Put these food related terms in alphabetical order ,Food,,,Bhuna,Balti,Bhaji,Biryani ,Balti,Bhaji,Bhuna,Biryani 
Starting with the smallest put these mountains in order of height above sea level,UK,Geography,,Kilimanjaro,Everest,Eiger,Ben Nevis,Ben Nevis,Eiger,Kilimanjaro,Everest
Put these words into the order they appear in a well-known phrase,Science,UK,,Lining,Cloud,Silver,Every,Every,Cloud,Silver,Lining
"Starting with the earliest, put these life stages of a butterfly in order",Science,,,Adult,Caterpillar,Egg,Chrysalis,Egg,Chrysalis,Caterpillar,Adult
"Starting with the slowest, put these horse movements in order of speed ",Science,,,Canter,Walk,Trot,Gallop,Walk,Trot,Canter,Gallop
"Starting with the lowest, put these TV shows in order according to the number in their titles",Numbers,,,One foot in the grave,Room 101,5 Gold rings, ITV News at Ten,One foot in the grave,5 Gold rings, ITV News at Ten,Room 101
Put these countries into alphabetical order,Geography,,,Monaco,Mongola,Moldova,Montenegro,Moldova,Monaco,Mongola,Montenegro
Put these words said by Neil Armstrong in order ,History,Technology,,Giant,Small,Man,Mankind,Small,Man,Giant,Mankind
"Starting with the earliest, put these processes in the order they are traditionally carried out to make a basic sponge cake?",Food,UK,,Beat the butter and sugar,Spoon cake mixture into tin,Add beaten eggs,Fold in flour,Beat the butter and sugar,Add beaten eggs,Fold in flour,Spoon cake mixture into tin
Put these flowering plants into alphabetical order,Science,,,Delphinium,Dahila,Daffodil,Daisy,Daffodil,Dahila,Daisy,Delphinium
Put these European capital cities in order of their location from north to south,Geography,,,Athens,Brussels,Reykjavik,Vienna ,Reykjavik,Brussels,Vienna ,Athens
"Starting with the earliest, put these four Oscar-winning films in order of the release",Film & TV,,,Rain Man,West Side Story,Rocky,Casablanca,Casablanca,West Side Story,Rocky,Rain Man
"Starting with the earliest, put these four actors in order by when they first played James Bond on screen",Film & TV,,,Roger Moore,Pierce Brosnan,Sean Connery,George Lazenby,Sean Connery,George Lazenby,Roger Moore,Pierce Brosnan
"Starting with the earliest, place these four actresses in order by when they first won an Oscar",Film & TV,,,Meryl Streep,Bette Davis,Jodie Foster,Julie Andrews,Bette Davis,Julie Andrews,Meryl Streep,Jodie Foster
"Starting with the lowest, put these four Roman numerals in order by the number they represent",History,Maths,,X,L,V,M,V,X,L,M
"Starting with the the earliest, put these foods in order by when they traditionally appear during the year",Food,,,Pumpkin,Pancake,Hot Cross Bun,Christmas Cake,Pancake,Hot Cross Bun,Pumpkin,Christmas Cake
"Starting with the lowest, put these four snooker balls in order by their points value",Sport,,,Brown,Pink,Blue,Red,Red,Brown,Blue,Pink
"Starting nearest the top, put these four parts of a house in order",Geography,,,Attic,Basement,Roof,Foundations,Roof,Attic,Basement,Foundations
"Starting with the earliest, put these four newspapers in order by when they were founded",Geography,,,Daily Mail,Sun,Times,Independent,Times,Daily Mail,Sun,Independent
"Starting with the westernmost, put these four U.S. states in order from west to east",Geography,,,New York,Hawaii,Texas,California,Hawaii,California,Texas,New York
"Starting with the earliest, put these world cup winning countries in order",Sport,,,France,Italy,Spain,Germany,Italy,France,Spain,Germany
"Staring from the most, arrange the following geometrical figures in descending order of the number of corners they have",Maths,,,Triangle,Square,Hexagon,Pentagon,Hexagon,Pentagon,Square,Triangle
"Starting with the least, arrange these parts of a normal human body according to their number in increasing order",Science,,,Hair,Neck,Ears,Nails,Neck,Ears,Nails,Hair
Arrange these Olympic athletic events in increasing order of their distance,Sport,,,Marathon,4 x 100 Relay,4 x 400 Relay,20 Km walk,4 x 100 Relay,4 x 400 Relay,20 Km walk,Marathon
"Starting from the least, arrange these sporting events in increasing order of the number of players in the playing area during a game",Sport,,,Hockey,Boxing,Basketball ,Tennis Doubles,Boxing,Tennis Doubles,Basketball ,Hockey
"Starting from the smallest, arrange these spices according to their average size",Science,,,Mustard Seeds ,Cloves,Black Pepper ,Bay Leaf,Mustard Seeds ,Black Pepper ,Cloves,Bay Leaf
"Starting with the biggest, arrange these astronomical bodies of the Solar System in decreasing order of their size",Science,,,Earth,Jupiter,Sun,Moon,Sun,Jupiter,Earth,Moon
"Starting from the smallest, arrange these birds in increasing order of their average size and height",Science,,,Ostrich ,Peacock,Sparrow ,Pigeon,Sparrow ,Pigeon,Peacock,Ostrich 
"Starting with the closest, arrange these planets of our Solar system in increasing order of their distance from the sun",Science,,,Mercury ,Neptune,Mars,Saturn,Mercury ,Mars,Saturn,Neptune
Arrange these living organism in increasing order of their normal size,Science,,,Cockroach ,Mosquito,Lizard ,Crocodile,Mosquito,Cockroach ,Lizard ,Crocodile
Arrange the following geometrical figures in increasing order of the number of sides they have,Maths,,,Decagon ,Heptagon,Quadrilateral ,Octagon,Quadrilateral ,Heptagon,Octagon,Decagon 
Arrange these mountains peaks in decreasing order of their height above sea level,Geography,,,Kanchenjunga,K2,Mount Everest,Nanda Devi,Mount Everest,K2,Kanchenjunga,Nanda Devi
"Put these computer memory sizes in order, smallest to largest",Science,,,Byte,Bit,Megabyte,Petabyte,Bit,Byte,Megabyte,Petabyte
Put these cheeses in alphabetical order,Food,,,Wensleydale,Camembert,Cheddar,Roquefort,Camembert,Cheddar,Roquefort,Wensleydale
"Put these metric units in order of their length, starting with the longest",Maths,,,Kilometre,Millimetre,Decimetre,Centimetre,Millimetre,Centimetre,Decimetre,Kilometre
"Put these athletics world records in order by length, longest first",Sport,,,Mens triple jump,Women’s long jump,Mens polevault,Womens Shot put,Womens Shot put,Mens triple jump,Women’s long jump,Mens polevault
"Put the Harry Potter books in order by release date, earlier first ",Harry Potter,,,Half blood prince,Prisoner of azkaban,Order of the phoenix,Philosopher's stone,Philosopher's stone,Prisoner of azkaban,Order of the phoenix,The half blood prince
"Put the Harry Potter characters in order by age,  youngest first ",Harry Potter,,,Hermonie Granger,Ginny Weasley ,Albus Dumbledore,Severus Snape,Ginny Weasley ,Hermonie Granger,Severus Snape,Albus Dumbledore
Arrange the Weasley siblings in order of age,Harry Potter,,,Fred & George Weasley,Ronald Weasley,Charlie Weasley,Percy Weasley,Ronald Weasley,Fred & George Weasley,Percy Weasley,Charlie Weasley
"Starting with the one destroyed first, arrange these horcruxes",Harry Potter,,,Salazar Slytherin's Locket ,Helga Hufflepuff's Cup,Marvolo Gaunt's Ring ,Tom riddles diary ,Tom riddles diary ,Marvolo Gaunt's Ring ,Salazar Slytherin's Locket ,Helga Hufflepuff's Cup
"Starting with the smallest number, put these Harry Potter related item in order ",Harry Potter,,,Hogwarts Houses,Harry Potter books,Harry Potter films,Weasley sons,Hogwarts Houses,Weasley sons,Harry Potter books,Harry Potter films
